,similarity_score
770,0.7158737
771,0.7087027
772,0.76473016
773,0.7280015
774,0.7467181
775,0.7557696
776,0.7593452
777,0.76343
778,0.7232804
779,0.73908925
780,0.73908925
781,0.760167
782,0.7730619
783,0.7103533
784,0.72577
785,0.72635925
786,0.7292826
787,0.71600664
788,0.7245703
789,0.73300856
790,0.73115283
791,0.7547853
792,0.7164787
793,0.7463002
794,0.75175583
795,0.74821377
796,0.72107005
797,0.73672265
798,0.7478429
799,0.7178062
800,0.7583623
801,0.7244288
802,0.72756594
803,0.74917746
804,0.72091454
805,0.72091454
806,0.72091454
807,0.72091454
808,0.70624363
809,0.7474283
810,0.7659196
811,0.7604571
812,0.7581437
813,0.71842486
814,0.72029805
815,0.72885776
816,0.73637754
817,0.7555516
818,0.75912064
819,0.7419088
820,0.75379515
821,0.7569457
822,0.7110766
823,0.7748797
824,0.72795343
825,0.7195316
826,0.74382126
827,0.76128244
828,0.781379
829,0.7572893
830,0.7527347
831,0.7197145
832,0.75481796
833,0.7232804
834,0.75600815
835,0.705675
836,0.7221219
837,0.7643864
838,0.75064015
839,0.7385846
840,0.7555181
841,0.7220869
842,0.73364115
843,0.72756594
844,0.7541864
845,0.7232804
846,0.8007947
847,0.749851
848,0.7467234
849,0.7595481
850,0.7363428
851,0.7232804
852,0.7259131
853,0.7283461
854,0.7441986
855,0.69170284
856,0.6413792
857,0.76066256
858,0.77669734
859,0.74512124
860,0.74512124
861,0.77915615
862,0.73425007
863,0.72017694
864,0.7164787
865,0.810488
866,0.73738647
867,0.7317164
868,0.72647274
869,0.7759485
870,0.705675
871,0.72384226
872,0.6988497
873,0.74376416
874,0.6581369
875,0.6581369
876,0.6581369
877,0.6581369
878,0.7465585
879,0.7413382
880,0.7169876
881,0.7220869
882,0.7552316
883,0.7440311
884,0.7593452
885,0.7592468
886,0.74512124
887,0.7335819
888,0.74376416
889,0.7754543
890,0.74512124
891,0.76050794
892,0.75298697
893,0.72795343
894,0.7553993
895,0.7587968
896,0.725827
897,0.7547853
898,0.73413384
899,0.7291629
900,0.7445535
901,0.74376416
902,0.7607143
903,0.7142152
904,0.7158737
905,0.7379379
906,0.7485383
907,0.7574238
908,0.7533276
909,0.7808601
910,0.8146868
911,0.7363989
912,0.7506584
913,0.7575964
914,0.7130227
915,0.73955846
916,0.8071885
917,0.72045135
918,0.7087737
919,0.7465876
920,0.7252513
921,0.7419088
922,0.7254652
923,0.7350153
924,0.7624722
925,0.7453259
926,0.7547853
927,0.7643864
928,0.7547853
929,0.6886099
930,0.74037623
931,0.7824147
932,0.71614707
933,0.71449304
934,0.7142152
935,0.7440311
936,0.7546413
937,0.74512124
938,0.7485334
939,0.72885776
940,0.7292826
941,0.7609253
942,0.8178876
943,0.72348607
944,0.74512124
945,0.7445147
946,0.73806083
947,0.7142152
948,0.7142152
949,0.7142152
950,0.7643864
951,0.7060871
952,0.7716315
953,0.761253
954,0.7164787
955,0.71278703
956,0.73815256
957,0.75806665
958,0.74376416
959,0.7548617
960,0.73300856
961,0.74861944
962,0.749851
963,0.7581345
964,0.74608505
965,0.75611067
966,0.68848115
967,0.72439516
968,0.7721325
969,0.77463293
970,0.7357631
971,0.73738647
972,0.73769516
973,0.7335819
974,0.76935244
975,0.7348521
976,0.72353923
977,0.7419568
978,0.750162
979,0.7261039
980,0.68848115
981,0.7575224
982,0.72795343
983,0.73847896
984,0.72756594
985,0.7490866
986,0.71352804
987,0.7111281
988,0.6622702
989,0.74471563
990,0.74060464
991,0.76065207
992,0.74471563
993,0.7348521
994,0.75175583
995,0.71319044
996,0.7466313
997,0.73706985
998,0.68848115
999,0.74314404
1000,0.73473215
1001,0.7435874
1002,0.7594485
1003,0.76344013
1004,0.7419088
1005,0.7291629
1006,0.74861944
1007,0.7604571
1008,0.75526166
1009,0.7560858
1010,0.76315117
1011,0.74086165
1012,0.7303344
1013,0.7333846
1014,0.7164787
1015,0.7252513
1016,0.69191515
1017,0.7211105
1018,0.7489833
1019,0.72055304
1020,0.7259131
1021,0.7222463
1022,0.7481569
1023,0.7578255
1024,0.72219044
1025,0.72219044
1026,0.7394874
1027,0.72428405
1028,0.7357631
1029,0.7307366
1030,0.77899635
1031,0.7499625
1032,0.76343
1033,0.7392496
1034,0.73763126
